,Province_State,Country_Region,Confirmed,Lat,Long_
625,Catalonia,Spain,2044709,41.5912,1.5209
630,Madrid,Spain,1474510,40.4168,-3.7038
616,Andalusia,Spain,1246283,37.5443,-4.7278
620,C. Valenciana,Spain,1119605,39.484,-0.7533
634,Pais Vasco,Spain,606737,42.9896,-2.6189
624,Castilla y Leon,Spain,599870,41.8357,-4.3976
628,Galicia,Spain,448301,42.5751,-8.1339
623,Castilla - La Mancha,Spain,432806,39.2796,-3.0977
617,Aragon,Spain,358499,41.5976,-0.9057
632,Murcia,Spain,323777,37.9922,-1.1307
621,Canarias,Spain,256737,28.2916,-16.6291
619,Baleares,Spain,227040,39.710358,2.995148
627,Extremadura,Spain,211255,39.4937,-6.0679
633,Navarra,Spain,206969,42.6954,-1.6761
618,Asturias,Spain,173460,43.3614,-5.8593
622,Cantabria,Spain,111365,43.1828,-3.9878
629,La Rioja,Spain,82609,42.2871,-2.5396
631,Melilla,Spain,19080,35.2923,-2.9381
626,Ceuta,Spain,17641,35.8894,-5.3213
635,Unknown,Spain,0,,
